"Timestamp","Battery Voltage","Desired Lambda","Engine Speed","Engine Temperature","Front Adaptive Fuel Factor","Front Closed Loop Integrator","Front Spark Knock Retard","Idle Air Control Motor Positio","Idle Set Speed","Injector Time Front","Injector Time Rear","Intake Air Temperature","Rear Adaptive Fuel Factor","Rear Closed Loop Integrator","Rear Spark Knock Retard","Spark Advance Front","Spark Advance Rear","Throttle Position","Throttle Position Sensor Volta","Twistgrip Position","VE Front","VE New Front","VE New Rear","VE Rear","Vehicle Speed","chan_0","chan_1","chan_10","chan_11","chan_12","chan_19","chan_3","chan_38","chan_4","chan_7","chan_8","chan_9"
"2025-12-18 22:56:53.347","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:53.677","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:53.939","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:54.201","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:54.462","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:54.723","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:54.985","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","69.56543731689453","1.440912127494812","0.02358362264931202","2.299999952316284","0.9912381172180176","0.03048154152929783","94.43000030517578","1.3000000715255737","0.0","0.0","1.0"
"2025-12-18 22:56:55.257","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","75.54998779296875","1.4416717290878296","0.023498697206377983","1.7000000476837158","0.991284191608429","0.030479254201054573","94.43000030517578","2.0999999046325684","0.0","0.0","1.0"
"2025-12-18 22:56:55.517","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","75.54998779296875","1.4416717290878296","0.023498697206377983","1.7000000476837158","0.991284191608429","0.030479254201054573","94.43000030517578","2.0999999046325684","0.0","0.0","1.0"
"2025-12-18 22:56:55.781","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","75.54998779296875","1.4416717290878296","0.023498697206377983","1.7000000476837158","0.991284191608429","0.030479254201054573","94.43000030517578","2.0999999046325684","0.0","0.0","1.0"
"2025-12-18 22:56:56.042","1.0","14.68529987335205","0.0","82.22000122070312","100.0","100.0","0.0","120.0","1408.0","0.0","0.0","55.0","100.0","100.0","0.0","0.0","0.0","8.0","0.8600000143051147","0.0","80.0","80.0","80.0","80.0","0.0","1.0","75.54998779296875","1.4416717290878296","0.023498697206377983","1.7000000476837158","0.991284191608429","0.030479254201054573","94.43000030517578","2.0999999046325684","0.0","0.0","1.0"
