Front Cylinder VE (%) - 2017 FXDLS TC110 + High-Flow Intake + Bassani 2-1
RPM \ MAP (kPa),10,15,20,25,30,35,40,45,50,55,60,65,70,75,85,95,105
750,42.0,49.3,55.5,60.9,65.6,69.8,73.5,76.7,79.5,82.0,84.2,86.2,87.9,89.4,92.0,94.1,95.8
1000,47.2,55.3,62.2,68.1,73.4,78.0,82.1,85.7,88.8,91.6,94.0,96.2,98.1,99.8,102.7,105.0,106.8
1250,52.7,61.7,69.2,75.8,81.6,86.7,91.1,95.1,98.5,101.6,104.3,106.7,108.8,110.7,113.9,116.4,118.5
1500,54.3,63.6,71.3,78.1,84.0,89.2,93.8,97.8,101.4,104.6,107.4,109.8,112.0,114.0,117.2,119.9,122.0
1750,55.7,65.3,73.2,80.2,86.3,91.7,96.4,100.5,104.2,107.5,110.3,112.9,115.1,117.2,120.5,123.2,125.4
2000,56.9,66.9,75.1,82.2,88.5,94.0,98.8,103.1,106.9,110.2,113.2,115.8,118.1,120.2,123.7,126.4,128.7
2250,58.1,68.3,76.7,84.0,90.4,96.1,101.0,105.4,109.3,112.7,115.7,118.4,120.8,122.9,126.5,129.3,130.0
2500,59.0,69.5,78.1,85.5,92.1,97.8,102.9,107.3,111.3,114.8,117.9,120.6,123.0,125.2,128.9,130.0,130.0
2750,59.7,70.4,79.1,86.7,93.3,99.2,104.3,108.8,112.8,116.4,119.5,122.3,124.8,127.0,130.0,130.0,130.0
3000,60.2,71.0,79.8,87.4,94.1,100.0,105.2,109.8,113.8,117.4,120.6,123.4,125.9,128.1,130.0,130.0,130.0
3250,60.3,71.2,80.0,87.7,94.5,100.4,105.6,110.2,114.3,117.8,121.0,123.9,126.4,128.6,130.0,130.0,130.0
3500,60.2,71.1,79.9,87.6,94.3,100.2,105.4,110.0,114.0,117.6,120.8,123.6,126.1,128.4,130.0,130.0,130.0
3750,59.7,70.5,79.3,86.9,93.6,99.5,104.6,109.2,113.2,116.8,119.9,122.7,125.2,127.5,130.0,130.0,130.0
4000,59.0,69.7,78.3,85.8,92.4,98.2,103.3,107.8,111.8,115.3,118.4,121.2,123.7,125.9,129.6,130.0,130.0
4250,58.1,68.5,77.0,84.4,90.9,96.6,101.6,106.0,109.9,113.4,116.4,119.1,121.5,123.7,127.3,130.0,130.0
4500,56.9,67.1,75.4,82.6,89.0,94.5,99.4,103.7,107.6,110.9,113.9,116.6,119.0,121.1,124.6,127.4,129.7
4750,55.7,65.5,73.6,80.6,86.8,92.2,97.0,101.2,104.9,108.2,111.1,113.7,116.0,118.1,121.5,124.3,126.5
5000,54.3,63.8,71.7,78.5,84.5,89.8,94.4,98.5,102.1,105.3,108.1,110.6,112.9,114.9,118.2,120.9,123.0
5250,50.7,59.6,66.9,73.3,78.9,83.8,88.2,92.0,95.4,98.4,101.0,103.4,105.5,107.3,110.4,112.9,115.0
5500,47.3,55.5,62.4,68.3,73.5,78.1,82.2,85.7,88.9,91.7,94.2,96.3,98.3,100.0,102.9,105.3,107.2
5750,44.0,51.7,58.0,63.6,68.4,72.7,76.4,79.8,82.7,85.3,87.6,89.6,91.5,93.1,95.8,98.0,99.7
